,community,size,total_spending,median_spending,mean_claims,median_hcpcs,median_servicing,anomaly_rate
2270,2270,1,21493970.64,21493970.64,262990.0,2.0,1.0,0.0
2737,2737,1,21465239.72,21465239.72,289883.0,2.0,1.0,0.0
1070,1070,1,21462235.33,21462235.33,194369.0,1.0,1.0,0.0
233,233,1,21440717.09,21440717.09,94819.0,2.0,1.0,0.0
1622,1622,1,21424355.950000003,21424355.950000003,180508.0,2.0,1.0,0.0
2697,2697,1,21382521.080000002,21382521.080000002,25483.0,1.0,1.0,0.0
1142,1142,1,21359139.11,21359139.11,10674.0,1.0,1.0,0.0
330,330,1,21357851.86,21357851.86,352738.0,1.0,3.0,0.0
1577,1577,1,21353898.640000004,21353898.640000004,121762.0,2.0,1.0,0.0
2341,2341,1,21347446.869999997,21347446.869999997,162566.0,1.0,1.0,0.0
2430,2430,1,21312400.319999997,21312400.319999997,241663.0,1.0,0.0,0.0
2719,2719,1,21304073.31,21304073.31,247984.0,2.0,1.0,0.0
145,145,1,21296855.74,21296855.74,157649.0,1.0,1.0,0.0
1002,1002,1,21258258.069999997,21258258.069999997,56516.0,1.0,9.0,0.0
355,355,1,21190574.62,21190574.62,273951.0,2.0,1.0,0.0
2726,2726,1,21186081.259999998,21186081.259999998,416330.0,2.0,7.0,0.0
37,37,1,21160849.83,21160849.83,56487.0,1.0,1.0,0.0
1136,1136,1,21153877.98,21153877.98,278236.0,2.0,1.0,0.0
1008,1008,1,21139449.88,21139449.88,238319.0,2.0,1.0,0.0
1562,1562,1,21133725.929999996,21133725.929999996,8870.0,2.0,1.0,1.0
359,359,1,21124786.68,21124786.68,47475.0,2.0,0.0,0.0
2735,2735,1,21091993.15,21091993.15,26825.0,1.0,0.0,0.0
2548,2548,1,21086063.14,21086063.14,1873279.0,1.0,1.0,0.0
2109,2109,1,21081889.57,21081889.57,173370.0,1.0,1.0,0.0
2605,2605,1,21080083.55,21080083.55,304837.0,1.0,1.0,0.0
2505,2505,1,21071708.8,21071708.8,7128.0,1.0,1.0,0.0
2065,2065,1,21052809.44,21052809.44,405738.0,1.0,1.0,0.0
433,433,1,21044973.13,21044973.13,158369.0,1.0,3.0,0.0
70,70,1,21029597.82,21029597.82,270658.0,2.0,1.0,0.0
1249,1249,1,21006263.07,21006263.07,37534.0,2.0,1.0,0.0
1852,1852,1,20980041.91,20980041.91,49473.0,2.0,1.0,0.0
2659,2659,1,20970569.86,20970569.86,384811.0,2.0,1.0,0.0
1487,1487,1,20943738.52,20943738.52,253745.0,2.0,1.0,0.0
2044,2044,1,20943461.799999997,20943461.799999997,23608.0,1.0,1.0,0.0
1825,1825,1,20921822.31,20921822.31,133839.0,2.0,1.0,0.0
255,255,1,20889792.990000002,20889792.990000002,45747.0,2.0,1.0,0.0
165,165,1,20869143.34,20869143.34,104534.0,1.0,1.0,0.0
2673,2673,1,20865535.020000003,20865535.020000003,30439.0,2.0,1.0,0.0
2182,2182,1,20862256.759999998,20862256.759999998,332658.0,2.0,0.0,0.0
2208,2208,1,20856624.93,20856624.93,101140.0,1.0,1.0,0.0
734,734,1,20855125.94,20855125.94,154103.0,1.0,1.0,0.0
1844,1844,1,20849014.610000003,20849014.610000003,330198.0,2.0,8.0,0.0
1049,1049,1,20844996.120000005,20844996.120000005,42564.0,2.0,1.0,0.0
428,428,1,20841336.0,20841336.0,330514.0,1.0,1.0,0.0
2639,2639,1,20820591.85,20820591.85,43597.0,1.0,2.0,0.0
2033,2033,1,20812701.360000003,20812701.360000003,281942.0,2.0,1.0,0.0
2364,2364,1,20784595.31,20784595.31,130090.0,2.0,1.0,0.0
2705,2705,1,20777542.13,20777542.13,40298.0,2.0,1.0,0.0
901,901,1,20737844.56,20737844.56,25783.0,1.0,1.0,0.0
2124,2124,1,20726131.52,20726131.52,306580.0,2.0,1.0,0.0
1126,1126,1,20696746.57,20696746.57,38226.0,2.0,1.0,0.0
