,cluster,count,total_paid_median,total_paid_mean,total_paid_std,total_claims_median,total_claims_mean,total_claims_std,paid_per_claim_median,paid_per_claim_mean,paid_per_claim_std,paid_per_beneficiary_median,paid_per_beneficiary_mean,paid_per_beneficiary_std,n_unique_hcpcs_median,n_unique_hcpcs_mean,n_unique_hcpcs_std,n_servicing_npis_median,n_servicing_npis_mean,n_servicing_npis_std,n_years_active_median,n_years_active_mean,n_years_active_std,n_months_active_median,n_months_active_mean,n_months_active_std
274,273,124,59348.69,991421.4545967742,5920498.513770993,577.5,8723.838709677419,47985.96836260939,91.7510052350534,117.73913602284513,138.58819426061572,256.3029395420689,483.93881008419453,1344.0265603696678,1.0,1.7016129032258065,2.4626637660361994,1.0,2.403225806451613,13.221637448767293,2.0,3.0080645161290325,2.2613614423704167,9.5,23.20967741935484,28.14863978678749
275,274,605,42579.17,146314.25818181815,706867.2600112953,526.0,1539.3652892561984,6803.799571542383,81.28717948717949,88.41344347322527,60.15360039353997,190.33357142857145,239.80110780362344,400.9902814191046,1.0,1.0231404958677686,0.3539653167473096,0.0,0.47603305785123967,1.3102388939312792,2.0,2.7900826446280993,1.6539840001126807,14.0,20.2297520661157,18.845707807163873
276,275,270,275.8,10052.138888888887,114641.24412383894,32.0,587.0962962962963,4264.252343632128,9.787380952380953,15.000847829062684,33.28297066869195,11.083333333333334,22.824947674322477,130.42745951037455,2.0,2.6814814814814816,5.372588905890756,1.0,1.1111111111111112,0.7179759516601739,1.0,1.651851851851852,1.1556778761554718,2.0,3.751851851851852,7.1151898025229
277,276,2237,29729.460000000003,89746.96021010281,201203.67669162832,373.0,996.454179704962,1899.5780506135357,85.57424528301888,87.19612419310806,35.252561636952755,208.81589473684213,226.60793174829234,120.18580626451117,1.0,1.0938757264193115,0.632415258895091,1.0,1.226642825212338,1.220738377325586,2.0,2.6700938757264194,1.7912689858684931,10.0,17.385784532856505,19.545347345060474
278,277,492,1271435.0150000001,3280883.012093496,7461156.481328946,7438.5,19002.483739837397,33325.439461547,147.8511413598426,287.0224264814157,404.6641705786316,1472.1042778453989,1775.2542169194917,1408.74265517374,1.0,1.7764227642276422,1.1393771336472789,1.0,0.9126016260162602,0.4117467384406276,4.0,4.170731707317073,2.42259330532065,34.5,41.199186991869915,30.108103924767434
279,278,169,1113.48,51575.38704142012,459705.98735986446,152.0,831.1005917159763,2983.0972052968114,8.389394736842105,17.29346278143578,31.21707495858172,13.553185185185185,35.58949924287174,78.23224251845079,1.0,1.5207100591715976,2.0646940203276536,1.0,1.0710059171597632,0.4702325222321176,2.0,2.1597633136094676,1.5748892450335308,5.0,12.301775147928995,16.923428651023503
280,279,282,115440.82999999999,1019993.3122340426,5343148.995867519,1041.0,8890.517730496455,55547.15119545097,112.44644639919903,124.36453713729459,74.59211152283197,136.13200255558394,183.01141028598985,212.39042598993697,5.0,6.421985815602837,12.59028373155575,1.0,3.397163120567376,21.051328368708152,4.0,3.9539007092198584,2.0408642970747053,18.0,26.46099290780142,23.57467660322341
281,280,279,895.72,3511.6172759856627,7095.321672713166,121.0,588.1111111111111,2242.3364224609145,7.170463576158941,12.366370320505812,13.79204961479752,12.03,21.651185979773107,31.96655411545733,1.0,1.4157706093189963,1.3673618580272597,1.0,1.0573476702508962,0.40269969029178576,1.0,2.1146953405017923,1.5505043842884292,4.0,11.100358422939069,16.047724458711457
282,281,236,65093.325,120870.0743220339,216304.87101243477,1067.5,1823.1016949152543,3819.5727206505103,66.03197301854976,66.8282783623249,25.669771071737657,148.22186329232045,161.25698462491562,82.86349546380922,2.0,2.135593220338983,0.5822225097395821,1.0,1.5847457627118644,1.6825829747751604,3.0,3.1313559322033897,1.8690399926298455,17.0,23.033898305084747,20.334618716749315
283,282,140,174381.815,212616.59735714286,183919.5066673388,7877.0,9023.235714285714,7028.908820224648,23.17499023189351,27.01691582566749,15.992974200308197,25.414186626638884,29.2313830389604,16.823733279377283,9.0,8.535714285714286,2.8064948165265027,1.0,1.3642857142857143,2.811105198274458,5.0,5.457142857142857,1.5237752651167782,51.0,52.4,21.796904274947472
