,billing_npi,changepoint_month,changepoint_idx,type,direction,mean_before,mean_after,pct_change,std_before,std_after,is_covid_period
7474,1700130549,2022-03,50,trend_break,increase,495025.095,552237.8433333334,0.11557545043896782,25779.60142082981,24636.262725706336,False
7475,1700130549,2024-01,72,trend_break,increase,598720.275,664630.8450000001,0.11008574914201791,28816.84984440629,33346.48206371377,False
7476,1700130549,2024-10,81,variance_shift,decrease,692120.8083333335,444185.75,-0.3582251181408879,17845.620080483015,315190.8389576794,False
7477,1316078629,2020-04,27,trend_break,increase,508292.345,560660.0466666666,0.10302673684090921,19021.953990443126,15205.360383237647,True
7478,1316078629,2024-10,81,variance_shift,decrease,586937.7416666666,294660.73333333334,-0.4979693544717135,23272.374626207766,208422.23412022527,False
7479,1609875772,2019-10,21,mean_shift,increase,134834.65333333332,676301.6766666666,4.015785333691054,38028.639109549345,77193.6072587528,False
7480,1851729800,2019-03,14,mean_shift,increase,60546.988333333335,316249.8983333334,4.223214350283431,32030.193067175027,70657.65358297143,False
7481,1851729800,2022-03,50,trend_break,increase,456338.0883333333,580896.75,0.27295258680097184,41760.75048812743,40665.618234875015,False
7482,1356389878,2020-04,27,variance_shift,decrease,603152.1266666666,355618.62833333336,-0.41039977708596026,64404.931618833856,29331.65182648676,True
7483,1356389878,2021-04,39,mean_shift,increase,360532.28,546332.245,0.5153490416988032,35105.558052209875,43323.70666045176,True
7484,1356389878,2024-10,81,variance_shift,decrease,586052.9049999999,302761.43,-0.4833889100840078,24219.25293943707,183500.30292925297,False
7485,1952330649,2021-07,42,trend_break,increase,462850.99,633636.93,0.3689868741549652,80095.60930824978,44328.31640545492,True
7486,1508960873,2021-07,42,variance_shift,increase,390257.04833333334,570257.1633333334,0.46123475736892766,40915.57563344891,20063.549100460372,True
7487,1952339046,2023-07,66,mean_shift,increase,482099.5183333333,762116.1683333333,0.580827483436335,71105.87405206307,202394.68611485488,False
7488,1952339046,2023-10,69,trend_break,decrease,725335.5549999998,650100.0316666667,-0.103725128066043,229961.66440164557,131699.8668686154,False
7489,1437237690,2022-05,52,variance_shift,decrease,524230.61000000004,365440.19333333336,-0.30290184059714437,48098.235415657364,151291.41243027677,False
7490,1437237690,2022-08,55,variance_shift,increase,385947.0716666666,481147.71,0.24666760113497974,174849.87533189126,47184.742270560695,False
7491,1568430700,2019-09,20,variance_shift,increase,478239.2066666666,699270.9266666666,0.4621781671564148,27404.667927008308,73890.05208109389,False
7492,1568430700,2021-06,41,trend_break,decrease,651091.51,522077.2650000001,-0.19815071002815224,25213.066739290018,33348.40261712828,True
7493,1568430700,2024-10,81,variance_shift,decrease,494012.405,324364.0233333334,-0.34340915318983384,38693.130635846435,150316.2054218497,False
7494,1114469749,2019-03,14,mean_shift,increase,143479.18333333332,219529.96499999997,0.5300474946909484,15943.648572602282,10338.212768601163,False
7495,1114469749,2020-10,33,trend_break,increase,405438.0533333334,488145.4916666667,0.20399525316665545,15193.294335490322,15629.888489258006,True
7496,1114469749,2024-10,81,mean_shift,decrease,1014553.8633333333,426055.12333333335,-0.580056674434118,41439.421424709006,361518.8441759765,False
7497,1205105004,2019-11,22,mean_shift,increase,287265.60833333334,496306.4633333334,0.7276918953580701,44716.53220302323,91581.0456932657,False
7498,1205105004,2024-10,81,variance_shift,decrease,457142.3333333333,264713.87333333335,-0.42093773857357125,38129.58313759035,112438.37910091836,False
7499,1649937236,2022-11,58,mean_shift,increase,0.0,547689.7116666667,547689711666.6667,1e-06,507058.3785088769,False
